Iteration-1

(Centre , 0 , 0 , Dormant , 25.0) : Stay = 0.0
(West , 1 , 3 , Dormant , 25.0) : Shoot = 5.77656390625
(South , 1 , 3 , Dormant , 25.0) : Stay = 7.324682610375002
(North , 1 , 3 , Dormant , 25.0) : Stay = 7.324682610375002
(Centre , 1 , 3 , Dormant , 50.0) : Right = -5.261503239999999
(East , 1 , 3 , Dormant , 50.0) : Shoot = 16.136820516500002
(West , 1 , 3 , Dormant , 50.0) : Stay = 0.0
(South , 1 , 3 , Dormant , 50.0) : Stay = 0.04909985100000003
(North , 1 , 3 , Dormant , 50.0) : Stay = 0.04909985100000003
(Centre , 1 , 3 , Dormant , 75.0) : Stay = -9.185605200000001
(East , 1 , 3 , Dormant , 75.0) : Shoot = -6.653913435999998
(West , 1 , 3 , Dormant , 75.0) : Stay = 0.0
(South , 1 , 3 , Dormant , 75.0) : Stay = -2.039515443
(North , 1 , 3 , Dormant , 75.0) : Stay = -2.039515443
(Centre , 1 , 3 , Dormant , 100.0) : Stay = -9.185605200000001
(East , 1 , 3 , Dormant , 100.0) : Stay = -9.185605200000001
(West , 1 , 3 , Dormant , 100.0) : Stay = 0.0
(South , 1 , 3 , Dormant , 100.0) : Stay = -2.039515443
(North , 1 , 3 , Dormant , 100.0) : Stay = -2.039515443
(Centre , 1 , 3 , Ready , 25.0) : Shoot = -24.95819059375
(East , 1 , 3 , Ready , 25.0) : Shoot = -9.490139118749997
(West , 1 , 3 , Ready , 25.0) : Shoot = 5.77656390625
(South , 1 , 3 , Ready , 25.0) : Stay = 4.791529611562502
(North , 1 , 3 , Ready , 25.0) : Stay = 4.791529611562502
(Centre , 1 , 3 , Ready , 50.0) : Left = -34.24300275
(East , 1 , 3 , Ready , 50.0) : Stay = -36.976007
(West , 1 , 3 , Ready , 50.0) : Stay = 0.0
(South , 1 , 3 , Ready , 50.0) : Stay = -2.13173238375
(North , 1 , 3 , Ready , 50.0) : Stay = -2.13173238375
(Centre , 1 , 3 , Ready , 75.0) : Left = -34.24300275
(East , 1 , 3 , Ready , 75.0) : Stay = -36.976007
(West , 1 , 3 , Ready , 75.0) : Stay = 0.0
(South , 1 , 3 , Ready , 75.0) : Stay = -3.4371169425000003
(North , 1 , 3 , Ready , 75.0) : Stay = -3.4371169425000003
(Centre , 1 , 3 , Ready , 100.0) : Left = -34.24300275
(East , 1 , 3 , Ready , 100.0) : Stay = -36.976007
(West , 1 , 3 , Ready , 100.0) : Stay = 0.0
(South , 1 , 3 , Ready , 100.0) : Stay = -3.4371169425000003
(North , 1 , 3 , Ready , 100.0) : Stay = -3.4371169425000003
(Centre , 2 , 0 , Dormant , 25.0) : Stay = -9.089797104
(East , 2 , 0 , Dormant , 25.0) : Hit = -6.837507648000001
(West , 2 , 0 , Dormant , 25.0) : Stay = 0.0
(South , 2 , 0 , Dormant , 25.0) : Stay = -1.9437073470000001
(North , 2 , 0 , Dormant , 25.0) : Stay = -1.9437073470000001
(Centre , 2 , 0 , Dormant , 50.0) : Stay = -9.089797104
(East , 2 , 0 , Dormant , 50.0) : Hit = -6.837507648000001
(West , 2 , 0 , Dormant , 50.0) : Stay = 0.0
(South , 2 , 0 , Dormant , 50.0) : Stay = -1.9437073470000001
(North , 2 , 0 , Dormant , 50.0) : Stay = -1.9437073470000001
(Centre , 2 , 0 , Dormant , 75.0) : Stay = -9.185605200000001
(East , 2 , 0 , Dormant , 75.0) : Stay = -9.185605200000001
(West , 2 , 0 , Dormant , 75.0) : Stay = 0.0
(South , 2 , 0 , Dormant , 75.0) : Stay = -2.039515443
(North , 2 , 0 , Dormant , 75.0) : Stay = -2.039515443
(Centre , 2 , 0 , Dormant , 100.0) : Stay = -9.185605200000001
(East , 2 , 0 , Dormant , 100.0) : Stay = -9.185605200000001
(West , 2 , 0 , Dormant , 100.0) : Stay = 0.0
(South , 2 , 0 , Dormant , 100.0) : Stay = -2.039515443
(North , 2 , 0 , Dormant , 100.0) : Stay = -2.039515443
(Centre , 2 , 0 , Ready , 25.0) : Left = -34.24300275
(East , 2 , 0 , Ready , 25.0) : Stay = -36.5768066
(West , 2 , 0 , Ready , 25.0) : Stay = 0.0
(South , 2 , 0 , Ready , 25.0) : Stay = -3.3772368825
(North , 2 , 0 , Ready , 25.0) : Stay = -3.3772368825
(Centre , 2 , 0 , Ready , 50.0) : Left = -34.24300275
(East , 2 , 0 , Ready , 50.0) : Stay = -36.976007
(West , 2 , 0 , Ready , 50.0) : Stay = 0.0
(South , 2 , 0 , Ready , 50.0) : Stay = -3.3772368825
(North , 2 , 0 , Ready , 50.0) : Stay = -3.3772368825
(Centre , 2 , 0 , Ready , 75.0) : Left = -34.24300275
(East , 2 , 0 , Ready , 75.0) : Stay = -36.976007
(West , 2 , 0 , Ready , 75.0) : Stay = 0.0
(South , 2 , 0 , Ready , 75.0) : Stay = -3.4371169425000003
(North , 2 , 0 , Ready , 75.0) : Stay = -3.4371169425000003
(Centre , 2 , 0 , Ready , 100.0) : Left = -34.24300275
(East , 2 , 0 , Ready , 100.0) : Stay = -36.976007
(West , 2 , 0 , Ready , 100.0) : Stay = 0.0
(South , 2 , 0 , Ready , 100.0) : Stay = -3.4371169425000003
(North , 2 , 0 , Ready , 100.0) : Stay = -3.4371169425000003
(Centre , 2 , 1 , Dormant , 25.0) : Right = 15.954539480000001
(East , 2 , 1 , Dormant , 25.0) : Shoot = 34.145311544
(West , 2 , 1 , Dormant , 25.0) : Shoot = 2.5
(South , 2 , 1 , Dormant , 25.0) : Stay = 6.940701725625001
(North , 2 , 1 , Dormant , 25.0) : Stay = 6.940701725625001
(Centre , 2 , 1 , Dormant , 50.0) : Stay = -9.089797104
(East , 2 , 1 , Dormant , 50.0) : Hit = -6.837507648000001
(West , 2 , 1 , Dormant , 50.0) : Stay = 0.0
(South , 2 , 1 , Dormant , 50.0) : Stay = -1.9437073470000001
(North , 2 , 1 , Dormant , 50.0) : Stay = -1.9437073470000001
(Centre , 2 , 1 , Dormant , 75.0) : Stay = -9.185605200000001
(East , 2 , 1 , Dormant , 75.0) : Stay = -9.185605200000001
(West , 2 , 1 , Dormant , 75.0) : Stay = 0.0
(South , 2 , 1 , Dormant , 75.0) : Stay = -2.039515443
(North , 2 , 1 , Dormant , 75.0) : Stay = -2.039515443
(Centre , 2 , 1 , Dormant , 100.0) : Stay = -9.185605200000001
(East , 2 , 1 , Dormant , 100.0) : Stay = -9.185605200000001
(West , 2 , 1 , Dormant , 100.0) : Stay = 0.0
(South , 2 , 1 , Dormant , 100.0) : Stay = -2.039515443
(North , 2 , 1 , Dormant , 100.0) : Stay = -2.039515443
(Centre , 2 , 1 , Ready , 25.0) : Shoot = -26.9860045
(East , 2 , 1 , Ready , 25.0) : Shoot = -10.594802099999999
(West , 2 , 1 , Ready , 25.0) : Shoot = 2.5
(South , 2 , 1 , Ready , 25.0) : Stay = 4.516455585937501
(North , 2 , 1 , Ready , 25.0) : Stay = 4.516455585937501
(Centre , 2 , 1 , Ready , 50.0) : Left = -34.24300275
(East , 2 , 1 , Ready , 50.0) : Stay = -36.976007
(West , 2 , 1 , Ready , 50.0) : Stay = 0.0
(South , 2 , 1 , Ready , 50.0) : Stay = -3.3772368825
(North , 2 , 1 , Ready , 50.0) : Stay = -3.3772368825
(Centre , 2 , 1 , Ready , 75.0) : Left = -34.24300275
(East , 2 , 1 , Ready , 75.0) : Stay = -36.976007
(West , 2 , 1 , Ready , 75.0) : Stay = 0.0
(South , 2 , 1 , Ready , 75.0) : Stay = -3.4371169425000003
(North , 2 , 1 , Ready , 75.0) : Stay = -3.4371169425000003
(Centre , 2 , 1 , Ready , 100.0) : Left = -34.24300275
(East , 2 , 1 , Ready , 100.0) : Stay = -36.976007
(West , 2 , 1 , Ready , 100.0) : Stay = 0.0
(South , 2 , 1 , Ready , 100.0) : Stay = -3.4371169425000003
(North , 2 , 1 , Ready , 100.0) : Stay = -3.4371169425000003
(Centre , 2 , 2 , Dormant , 25.0) : Shoot = 19.335560100000002
(East , 2 , 2 , Dormant , 25.0) : Shoot = 37.595453948
(West , 2 , 2 , Dormant , 25.0) : Shoot = 4.373125
(South , 2 , 2 , Dormant , 25.0) : Stay = 7.324682610375002
(North , 2 , 2 , Dormant , 25.0) : Stay = 7.324682610375002
(Centre , 2 , 2 , Dormant , 50.0) : Right = -5.261503239999999
(East , 2 , 2 , Dormant , 50.0) : Shoot = 12.504397075999997
(West , 2 , 2 , Dormant , 50.0) : Stay = 0.0
(South , 2 , 2 , Dormant , 50.0) : Stay = 0.04909985100000003
(North , 2 , 2 , Dormant , 50.0) : Stay = 0.04909985100000003
(Centre , 2 , 2 , Dormant , 75.0) : Stay = -9.185605200000001
(East , 2 , 2 , Dormant , 75.0) : Stay = -9.185605200000001
(West , 2 , 2 , Dormant , 75.0) : Stay = 0.0
(South , 2 , 2 , Dormant , 75.0) : Stay = -2.039515443
(North , 2 , 2 , Dormant , 75.0) : Stay = -2.039515443
(Centre , 2 , 2 , Dormant , 100.0) : Stay = -9.185605200000001
(East , 2 , 2 , Dormant , 100.0) : Stay = -9.185605200000001
(West , 2 , 2 , Dormant , 100.0) : Stay = 0.0
(South , 2 , 2 , Dormant , 100.0) : Stay = -2.039515443
(North , 2 , 2 , Dormant , 100.0) : Stay = -2.039515443
(Centre , 2 , 2 , Ready , 25.0) : Shoot = -25.11412825
(East , 2 , 2 , Ready , 25.0) : Shoot = -9.521326649999999
(West , 2 , 2 , Ready , 25.0) : Shoot = 4.373125
(South , 2 , 2 , Ready , 25.0) : Stay = 4.791529611562502
(North , 2 , 2 , Ready , 25.0) : Stay = 4.791529611562502
(Centre , 2 , 2 , Ready , 50.0) : Left = -34.24300275
(East , 2 , 2 , Ready , 50.0) : Stay = -36.976007
(West , 2 , 2 , Ready , 50.0) : Stay = 0.0
(South , 2 , 2 , Ready , 50.0) : Stay = -2.13173238375
(North , 2 , 2 , Ready , 50.0) : Stay = -2.13173238375
(Centre , 2 , 2 , Ready , 75.0) : Left = -34.24300275
(East , 2 , 2 , Ready , 75.0) : Stay = -36.976007
(West , 2 , 2 , Ready , 75.0) : Stay = 0.0
(South , 2 , 2 , Ready , 75.0) : Stay = -3.4371169425000003
(North , 2 , 2 , Ready , 75.0) : Stay = -3.4371169425000003
(Centre , 2 , 2 , Ready , 100.0) : Left = -34.24300275
(East , 2 , 2 , Ready , 100.0) : Stay = -36.976007
(West , 2 , 2 , Ready , 100.0) : Stay = 0.0
(South , 2 , 2 , Ready , 100.0) : Stay = -3.4371169425000003
(North , 2 , 2 , Ready , 100.0) : Stay = -3.4371169425000003
(Centre , 2 , 3 , Dormant , 25.0) : Shoot = 20.5057262625
(East , 2 , 3 , Dormant , 25.0) : Shoot = 37.851441204500006
(West , 2 , 3 , Dormant , 25.0) : Shoot = 5.77656390625
(South , 2 , 3 , Dormant , 25.0) : Stay = 7.324682610375002
(North , 2 , 3 , Dormant , 25.0) : Stay = 7.324682610375002
(Centre , 2 , 3 , Dormant , 50.0) : Right = -5.261503239999999
(East , 2 , 3 , Dormant , 50.0) : Shoot = 16.136820516500002
(West , 2 , 3 , Dormant , 50.0) : Stay = 0.0
(South , 2 , 3 , Dormant , 50.0) : Stay = 0.04909985100000003
(North , 2 , 3 , Dormant , 50.0) : Stay = 0.04909985100000003
(Centre , 2 , 3 , Dormant , 75.0) : Stay = -9.185605200000001
(East , 2 , 3 , Dormant , 75.0) : Shoot = -6.653913435999998
(West , 2 , 3 , Dormant , 75.0) : Stay = 0.0
(South , 2 , 3 , Dormant , 75.0) : Stay = -2.039515443
(North , 2 , 3 , Dormant , 75.0) : Stay = -2.039515443
(Centre , 2 , 3 , Dormant , 100.0) : Stay = -9.185605200000001
(East , 2 , 3 , Dormant , 100.0) : Stay = -9.185605200000001
(West , 2 , 3 , Dormant , 100.0) : Stay = 0.0
(South , 2 , 3 , Dormant , 100.0) : Stay = -2.039515443
(North , 2 , 3 , Dormant , 100.0) : Stay = -2.039515443
(Centre , 2 , 3 , Ready , 25.0) : Shoot = -24.95819059375
(East , 2 , 3 , Ready , 25.0) : Shoot = -9.490139118749997
(West , 2 , 3 , Ready , 25.0) : Shoot = 5.77656390625
(South , 2 , 3 , Ready , 25.0) : Stay = 4.791529611562502
(North , 2 , 3 , Ready , 25.0) : Stay = 4.791529611562502
(Centre , 2 , 3 , Ready , 50.0) : Left = -34.24300275
(East , 2 , 3 , Ready , 50.0) : Stay = -36.976007
(West , 2 , 3 , Ready , 50.0) : Stay = 0.0
(South , 2 , 3 , Ready , 50.0) : Stay = -2.13173238375
(North , 2 , 3 , Ready , 50.0) : Stay = -2.13173238375
(Centre , 2 , 3 , Ready , 75.0) : Left = -34.24300275
(East , 2 , 3 , Ready , 75.0) : Stay = -36.976007
(West , 2 , 3 , Ready , 75.0) : Stay = 0.0
(South , 2 , 3 , Ready , 75.0) : Stay = -3.4371169425000003
(North , 2 , 3 , Ready , 75.0) : Stay = -3.4371169425000003
(Centre , 2 , 3 , Ready , 100.0) : Left = -34.24300275
(East , 2 , 3 , Ready , 100.0) : Stay = -36.976007
(West , 2 , 3 , Ready , 100.0) : Stay = 0.0
(South , 2 , 3 , Ready , 100.0) : Stay = -3.4371169425000003
(North , 2 , 3 , Ready , 100.0) : Stay = -3.4371169425000003
Iteration-4

(Centre , 0 , 0 , Dormant , 25.0) : Left = -11.91588731064424
(East , 0 , 0 , Dormant , 25.0) : Hit = -10.21806565676928
(West , 0 , 0 , Dormant , 25.0) : Stay = 0.0
(South , 0 , 0 , Dormant , 25.0) : Stay = -3.8098427253632554
(North , 0 , 0 , Dormant , 25.0) : Stay = -3.8098427253632554
(Centre , 0 , 0 , Dormant , 50.0) : Left = -11.927851346632242
(East , 0 , 0 , Dormant , 50.0) : Hit = -10.281873848705281
(West , 0 , 0 , Dormant , 50.0) : Stay = 0.0
(South , 0 , 0 , Dormant , 50.0) : Stay = -3.8218067613512554
(North , 0 , 0 , Dormant , 50.0) : Stay = -3.8218067613512554
(Centre , 0 , 0 , Dormant , 75.0) : Left = -12.209341281166003
(East , 0 , 0 , Dormant , 75.0) : Stay = -14.72894187444
(West , 0 , 0 , Dormant , 75.0) : Stay = 0.0
(South , 0 , 0 , Dormant , 75.0) : Stay = -4.178550482249536
(North , 0 , 0 , Dormant , 75.0) : Stay = -4.178550482249536
(Centre , 0 , 0 , Dormant , 100.0) : Left = -12.209341281166003
(East , 0 , 0 , Dormant , 100.0) : Stay = -14.72894187444
(West , 0 , 0 , Dormant , 100.0) : Stay = 0.0
(South , 0 , 0 , Dormant , 100.0) : Stay = -4.178550482249536
(North , 0 , 0 , Dormant , 100.0) : Stay = -4.178550482249536
(Centre , 0 , 0 , Ready , 25.0) : Left = -37.280870887953
(East , 0 , 0 , Ready , 25.0) : Stay = -41.68544996687599
(West , 0 , 0 , Ready , 25.0) : Stay = 0.0
(South , 0 , 0 , Ready , 25.0) : Stay = -5.511957391271363
(North , 0 , 0 , Ready , 25.0) : Stay = -5.511957391271363
(Centre , 0 , 0 , Ready , 50.0) : Left = -37.358637121875006
(East , 0 , 0 , Ready , 50.0) : Stay = -43.057725293900006
(West , 0 , 0 , Ready , 50.0) : Stay = 0.0
(South , 0 , 0 , Ready , 50.0) : Stay = -5.541867481241363
(North , 0 , 0 , Ready , 50.0) : Stay = -5.541867481241363
(Centre , 0 , 0 , Ready , 75.0) : Left = -37.358637121875006
(East , 0 , 0 , Ready , 75.0) : Stay = -43.057725293900006
(West , 0 , 0 , Ready , 75.0) : Stay = 0.0
(South , 0 , 0 , Ready , 75.0) : Stay = -5.783899989158662
(North , 0 , 0 , Ready , 75.0) : Stay = -5.783899989158662
(Centre , 0 , 0 , Ready , 100.0) : Left = -37.358637121875006
(East , 0 , 0 , Ready , 100.0) : Stay = -43.057725293900006
(West , 0 , 0 , Ready , 100.0) : Stay = 0.0
(South , 0 , 0 , Ready , 100.0) : Stay = -5.783899989158662
(North , 0 , 0 , Ready , 100.0) : Stay = -5.783899989158662
(Centre , 0 , 1 , Dormant , 25.0) : Right = 15.1720915263848
(East , 0 , 1 , Dormant , 25.0) : Shoot = 33.72274179290384
(West , 0 , 1 , Dormant , 25.0) : Shoot = 2.5
(South , 0 , 1 , Dormant , 25.0) : Stay = 9.257800877369062
(North , 0 , 1 , Dormant , 25.0) : Stay = 9.257800877369062
(Centre , 0 , 1 , Dormant , 50.0) : Left = -11.927851346632242
(East , 0 , 1 , Dormant , 50.0) : Hit = -10.281873848705281
(West , 0 , 1 , Dormant , 50.0) : Stay = 0.0
(South , 0 , 1 , Dormant , 50.0) : Stay = -3.8218067613512554
(North , 0 , 1 , Dormant , 50.0) : Stay = -3.8218067613512554
(Centre , 0 , 1 , Dormant , 75.0) : Left = -12.209341281166003
(East , 0 , 1 , Dormant , 75.0) : Stay = -14.72894187444
(West , 0 , 1 , Dormant , 75.0) : Stay = 0.0
(South , 0 , 1 , Dormant , 75.0) : Stay = -4.178550482249536
(North , 0 , 1 , Dormant , 75.0) : Stay = -4.178550482249536
(Centre , 0 , 1 , Dormant , 100.0) : Left = -12.209341281166003
(East , 0 , 1 , Dormant , 100.0) : Stay = -14.72894187444
(West , 0 , 1 , Dormant , 100.0) : Stay = 0.0
(South , 0 , 1 , Dormant , 100.0) : Stay = -4.178550482249536
(North , 0 , 1 , Dormant , 100.0) : Stay = -4.178550482249536
(Centre , 0 , 1 , Ready , 25.0) : Shoot = -30.5925435902605
(East , 0 , 1 , Ready , 25.0) : Shoot = -12.742346559845998
(West , 0 , 1 , Ready , 25.0) : Shoot = 2.5
(South , 0 , 1 , Ready , 25.0) : Stay = 6.62894448564835
(North , 0 , 1 , Ready , 25.0) : Stay = 6.62894448564835
(Centre , 0 , 1 , Ready , 50.0) : Left = -37.358637121875006
(East , 0 , 1 , Ready , 50.0) : Stay = -43.057725293900006
(West , 0 , 1 , Ready , 50.0) : Stay = 0.0
(South , 0 , 1 , Ready , 50.0) : Stay = -5.541867481241363
(North , 0 , 1 , Ready , 50.0) : Stay = -5.541867481241363
(Centre , 0 , 1 , Ready , 75.0) : Left = -37.358637121875006
(East , 0 , 1 , Ready , 75.0) : Stay = -43.057725293900006
(West , 0 , 1 , Ready , 75.0) : Stay = 0.0
(South , 0 , 1 , Ready , 75.0) : Stay = -5.783899989158662
(North , 0 , 1 , Ready , 75.0) : Stay = -5.783899989158662
(Centre , 0 , 1 , Ready , 100.0) : Left = -37.358637121875006
(East , 0 , 1 , Ready , 100.0) : Stay = -43.057725293900006
(West , 0 , 1 , Ready , 100.0) : Stay = 0.0
(South , 0 , 1 , Ready , 100.0) : Stay = -5.783899989158662
(North , 0 , 1 , Ready , 100.0) : Stay = -5.783899989158662
(Centre , 0 , 2 , Dormant , 25.0) : Shoot = 18.679532126658
(East , 0 , 2 , Dormant , 25.0) : Shoot = 37.51720915263848
(West , 0 , 2 , Dormant , 25.0) : Shoot = 4.373125
(South , 0 , 2 , Dormant , 25.0) : Stay = 10.011137724397345
(North , 0 , 2 , Dormant , 25.0) : Stay = 10.011137724397345
(Centre , 0 , 2 , Dormant , 50.0) : Right = -7.394292055460805
(East , 0 , 2 , Dormant , 50.0) : Shoot = 11.36964814265816
(West , 0 , 2 , Dormant , 50.0) : Stay = 0.0
(South , 0 , 2 , Dormant , 50.0) : Stay = 0.06217859172993734
(North , 0 , 2 , Dormant , 50.0) : Stay = 0.06217859172993734
(Centre , 0 , 2 , Dormant , 75.0) : Left = -12.209341281166003
(East , 0 , 2 , Dormant , 75.0) : Stay = -14.72894187444
(West , 0 , 2 , Dormant , 75.0) : Stay = 0.0
(South , 0 , 2 , Dormant , 75.0) : Stay = -4.178550482249536
(North , 0 , 2 , Dormant , 75.0) : Stay = -4.178550482249536
(Centre , 0 , 2 , Dormant , 100.0) : Left = -12.209341281166003
(East , 0 , 2 , Dormant , 100.0) : Stay = -14.72894187444
(West , 0 , 2 , Dormant , 100.0) : Stay = 0.0
(South , 0 , 2 , Dormant , 100.0) : Stay = -4.178550482249536
(North , 0 , 2 , Dormant , 100.0) : Stay = -4.178550482249536
(Centre , 0 , 2 , Ready , 25.0) : Shoot = -28.780108277323002
(East , 0 , 2 , Ready , 25.0) : Shoot = -11.444545435071
(West , 0 , 2 , Ready , 25.0) : Shoot = 4.373125
(South , 0 , 2 , Ready , 25.0) : Stay = 7.247694791931766
(North , 0 , 2 , Ready , 25.0) : Stay = 7.247694791931766
(Centre , 0 , 2 , Ready , 50.0) : Left = -37.358637121875006
(East , 0 , 2 , Ready , 50.0) : Shoot = -41.198054631105
(West , 0 , 2 , Ready , 50.0) : Stay = 0.0
(South , 0 , 2 , Ready , 50.0) : Stay = -2.7177690811480315
(North , 0 , 2 , Ready , 50.0) : Stay = -2.7177690811480315
(Centre , 0 , 2 , Ready , 75.0) : Left = -37.358637121875006
(East , 0 , 2 , Ready , 75.0) : Stay = -43.057725293900006
(West , 0 , 2 , Ready , 75.0) : Stay = 0.0
(South , 0 , 2 , Ready , 75.0) : Stay = -5.783899989158662
(North , 0 , 2 , Ready , 75.0) : Stay = -5.783899989158662
(Centre , 0 , 2 , Ready , 100.0) : Left = -37.358637121875006
(East , 0 , 2 , Ready , 100.0) : Stay = -43.057725293900006
(West , 0 , 2 , Ready , 100.0) : Stay = 0.0
(South , 0 , 2 , Ready , 100.0) : Stay = -5.783899989158662
(North , 0 , 2 , Ready , 100.0) : Stay = -5.783899989158662
(Centre , 0 , 3 , Dormant , 25.0) : Shoot = 20.217588403785005
(East , 0 , 3 , Dormant , 25.0) : Shoot = 37.81439257305716
(West , 0 , 3 , Dormant , 25.0) : Shoot = 5.77656390625
(South , 0 , 3 , Dormant , 25.0) : Stay = 10.04276016701813
(North , 0 , 3 , Dormant , 25.0) : Stay = 10.04276016701813
(Centre , 0 , 3 , Dormant , 50.0) : Right = -4.4912592418132
(East , 0 , 3 , Dormant , 50.0) : Shoot = 15.59010395196836
(West , 0 , 3 , Dormant , 50.0) : Stay = 0.0
(South , 0 , 3 , Dormant , 50.0) : Stay = 0.497633513777078
(North , 0 , 3 , Dormant , 50.0) : Stay = 0.497633513777078
(Centre , 0 , 3 , Dormant , 75.0) : Left = -11.90584207249768
(East , 0 , 3 , Dormant , 75.0) : Shoot = -9.127757037358725
(West , 0 , 3 , Dormant , 75.0) : Stay = 0.0
(South , 0 , 3 , Dormant , 75.0) : Stay = -3.875051273581215
(North , 0 , 3 , Dormant , 75.0) : Stay = -3.875051273581215
(Centre , 0 , 3 , Dormant , 100.0) : Left = -12.209341281166003
(East , 0 , 3 , Dormant , 100.0) : Stay = -14.72894187444
(West , 0 , 3 , Dormant , 100.0) : Stay = 0.0
(South , 0 , 3 , Dormant , 100.0) : Stay = -4.178550482249536
(North , 0 , 3 , Dormant , 100.0) : Stay = -4.178550482249536
(Centre , 0 , 3 , Ready , 25.0) : Shoot = -28.3126071838855
(East , 0 , 3 , Ready , 25.0) : Shoot = -11.3909253363435
(West , 0 , 3 , Ready , 25.0) : Shoot = 5.77656390625
(South , 0 , 3 , Ready , 25.0) : Stay = 7.269211362903935
(North , 0 , 3 , Ready , 25.0) : Stay = 7.269211362903935
(Centre , 0 , 3 , Ready , 50.0) : Left = -37.358637121875006
(East , 0 , 3 , Ready , 50.0) : Shoot = -40.7154737425575
(West , 0 , 3 , Ready , 50.0) : Stay = 0.0
(South , 0 , 3 , Ready , 50.0) : Stay = -2.4456097548685687
(North , 0 , 3 , Ready , 50.0) : Stay = -2.4456097548685687
(Centre , 0 , 3 , Ready , 75.0) : Left = -37.358637121875006
(East , 0 , 3 , Ready , 75.0) : Stay = -43.057725293900006
(West , 0 , 3 , Ready , 75.0) : Stay = 0.0
(South , 0 , 3 , Ready , 75.0) : Stay = -5.594212983740962
(North , 0 , 3 , Ready , 75.0) : Stay = -5.594212983740962
(Centre , 0 , 3 , Ready , 100.0) : Left = -37.358637121875006
(East , 0 , 3 , Ready , 100.0) : Stay = -43.057725293900006
(West , 0 , 3 , Ready , 100.0) : Stay = 0.0
(South , 0 , 3 , Ready , 100.0) : Stay = -5.783899989158662
(North , 0 , 3 , Ready , 100.0) : Stay = -5.783899989158662
(Centre , 1 , 0 , Dormant , 25.0) : Left = -11.91588731064424
(East , 1 , 0 , Dormant , 25.0) : Hit = -10.21806565676928
(West , 1 , 0 , Dormant , 25.0) : Stay = 0.0
(South , 1 , 0 , Dormant , 25.0) : Stay = -3.8098427253632554
(North , 1 , 0 , Dormant , 25.0) : Craft = -3.36968469810415
(Centre , 1 , 0 , Dormant , 50.0) : Left = -11.927851346632242
(East , 1 , 0 , Dormant , 50.0) : Hit = -10.281873848705281
(West , 1 , 0 , Dormant , 50.0) : Stay = 0.0
(South , 1 , 0 , Dormant , 50.0) : Stay = -3.8218067613512554
(North , 1 , 0 , Dormant , 50.0) : Stay = -3.8218067613512554
(Centre , 1 , 0 , Dormant , 75.0) : Left = -12.209341281166003
(East , 1 , 0 , Dormant , 75.0) : Stay = -14.72894187444
(West , 1 , 0 , Dormant , 75.0) : Stay = 0.0
(South , 1 , 0 , Dormant , 75.0) : Stay = -4.178550482249536
(North , 1 , 0 , Dormant , 75.0) : Stay = -4.178550482249536
(Centre , 1 , 0 , Dormant , 100.0) : Left = -12.209341281166003
(East , 1 , 0 , Dormant , 100.0) : Stay = -14.72894187444
(West , 1 , 0 , Dormant , 100.0) : Stay = 0.0
(South , 1 , 0 , Dormant , 100.0) : Stay = -4.178550482249536
(North , 1 , 0 , Dormant , 100.0) : Stay = -4.178550482249536
(Centre , 1 , 0 , Ready , 25.0) : Left = -37.280870887953
(East , 1 , 0 , Ready , 25.0) : Stay = -41.68544996687599
(West , 1 , 0 , Ready , 25.0) : Stay = 0.0
(South , 1 , 0 , Ready , 25.0) : Stay = -5.511957391271363
(North , 1 , 0 , Ready , 25.0) : Craft = -4.112550959008374
(Centre , 1 , 0 , Ready , 50.0) : Left = -37.358637121875006
(East , 1 , 0 , Ready , 50.0) : Stay = -43.057725293900006
(West , 1 , 0 , Ready , 50.0) : Stay = 0.0
(South , 1 , 0 , Ready , 50.0) : Stay = -5.541867481241363
(North , 1 , 0 , Ready , 50.0) : Stay = -5.541867481241363
(Centre , 1 , 0 , Ready , 75.0) : Left = -37.358637121875006
(East , 1 , 0 , Ready , 75.0) : Stay = -43.057725293900006
(West , 1 , 0 , Ready , 75.0) : Stay = 0.0
(South , 1 , 0 , Ready , 75.0) : Stay = -5.783899989158662
(North , 1 , 0 , Ready , 75.0) : Stay = -5.783899989158662
(Centre , 1 , 0 , Ready , 100.0) : Left = -37.358637121875006
(East , 1 , 0 , Ready , 100.0) : Stay = -43.057725293900006
(West , 1 , 0 , Ready , 100.0) : Stay = 0.0
(South , 1 , 0 , Ready , 100.0) : Stay = -5.783899989158662
(North , 1 , 0 , Ready , 100.0) : Stay = -5.783899989158662
(Centre , 1 , 1 , Dormant , 25.0) : Right = 15.1720915263848
(East , 1 , 1 , Dormant , 25.0) : Shoot = 33.72274179290384
(West , 1 , 1 , Dormant , 25.0) : Shoot = 2.5
(South , 1 , 1 , Dormant , 25.0) : Stay = 9.257800877369062
(North , 1 , 1 , Dormant , 25.0) : Stay = 9.257800877369062
(Centre , 1 , 1 , Dormant , 50.0) : Left = -11.927851346632242
(East , 1 , 1 , Dormant , 50.0) : Hit = -10.281873848705281
(West , 1 , 1 , Dormant , 50.0) : Stay = 0.0
(South , 1 , 1 , Dormant , 50.0) : Stay = -3.8218067613512554
(North , 1 , 1 , Dormant , 50.0) : Stay = -3.8218067613512554
(Centre , 1 , 1 , Dormant , 75.0) : Left = -12.209341281166003
(East , 1 , 1 , Dormant , 75.0) : Stay = -14.72894187444
(West , 1 , 1 , Dormant , 75.0) : Stay = 0.0
(South , 1 , 1 , Dormant , 75.0) : Stay = -4.178550482249536
